text,label
"Expert cybersécurité et réseaux, firewall, IDS/IPS, gestion des vulnérabilités. Sécurisation des infrastructures réseau.",Réseaux & Sécurité
"Ingénieur sécurité réseau, VPN, chiffrement, monitoring sécurité. Protection des systèmes et prévention des cyberattaques.",Réseaux & Sécurité
"Pentester ethical hacking, tests d'intrusion, sécurité applicative. Audit de sécurité et détection de vulnérabilités.",Réseaux & Sécurité
"Architecte sécurité SOC, SIEM, threat intelligence, incident response. Gestion de la sécurité des systèmes d'information.",Réseaux & Sécurité
"Analyste de données, Power BI, Tableau, SQL. Business Intelligence, reporting et visualisation de données.",Data Analyst/BI
"Business intelligence analyst, ETL, data warehousing, SQL. Création de tableaux de bord et reporting décisionnel.",Data Analyst/BI
"Data analyst senior en Power BI, Tableau, Excel avancé. Analyse de données et création de visualisations interactives.",Data Analyst/BI
"Analyste BI avec expertise en SQL, Python, visualisation de données. Reporting automatisé et analyse métier.",Data Analyst/BI
"Data analyst Google Analytics, web analytics, KPI, reporting. Analyse du comportement utilisateur et optimisation.",Data Analyst/BI
"Consultant BI QlikView, Qlik Sense, modélisation de données. Solutions décisionnelles et tableaux de bord interactifs.",Data Analyst/BI
"Développeur mobile Flutter, React Native, Android, iOS. Applications mobiles natives et hybrides.",Développeur Mobile
"Développeur mobile expérimenté en Flutter, Dart, développement cross-platform. Applications iOS et Android natives.",Développeur Mobile
"Mobile developer React Native, JavaScript, développement d'applications mobiles hybrides pour iOS et Android.",Développeur Mobile
"Ingénieur mobile Android/iOS, Swift, Kotlin, Flutter. Développement d'applications mobiles performantes et intuitives.",Développeur Mobile
"Développeur Android natif Kotlin, Java, Android Studio. Applications mobiles Android performantes et scalables.",Développeur Mobile
"Développeur iOS Swift, SwiftUI, Objective-C. Applications mobiles iOS natives et optimisées.",Développeur Mobile
"DevOps engineer Docker, Kubernetes, CI/CD, AWS. Automatisation déploiement et monitoring infrastructure.",DevOps/Cloud Engineer
"DevOps engineer expérimenté en Docker, Kubernetes, Jenkins, AWS. Infrastructure as code et déploiement continu.",DevOps/Cloud Engineer
"Ingénieur DevOps cloud AWS, Azure, Terraform, Ansible. Automatisation infrastructure et déploiement applicatif.",DevOps/Cloud Engineer
"Spécialiste DevOps CI/CD, monitoring, logging, conteneurisation. Gestion infrastructure cloud et haute disponibilité.",DevOps/Cloud Engineer
"Cloud architect AWS solutions architect, serverless, Lambda, microservices. Architecture cloud native et évolutive.",DevOps/Cloud Engineer
"SRE site reliability engineer, monitoring, Prometheus, Grafana, incident management. Fiabilité et performance des systèmes.",DevOps/Cloud Engineer
"Développeur backend Java, Spring Boot, microservices, API REST. Architecture serveur et bases de données.",Développeur Backend
"Développeur backend expérimenté en Java Spring, Hibernate, microservices. Architecture RESTful et bases de données.",Développeur Backend
"Backend developer Node.js, Express, MongoDB, API REST. Développement de services serveur scalables.",Développeur Backend
"Ingénieur backend Python Django, FastAPI, PostgreSQL. Développement d'APIs robustes et architecture microservices.",Développeur Backend
"Développeur backend PHP Symfony, Laravel, MySQL. Architecture serveur et développement d'APIs.",Développeur Backend
"Backend engineer Go, microservices, gRPC, distributed systems. Systèmes backend haute performance.",Développeur Backend
"Développeur frontend JavaScript, React, Vue.js, HTML/CSS. Interfaces utilisateur et expérience utilisateur.",Développeur Frontend
"Frontend developer React, JavaScript, TypeScript, CSS3. Développement d'interfaces utilisateur modernes et responsives.",Développeur Frontend
"Développeur frontend Vue.js, Nuxt.js, JavaScript, SCSS. Création d'expériences utilisateur exceptionnelles.",Développeur Frontend
"Frontend engineer Angular, RxJS, TypeScript, Bootstrap. Développement d'applications web interactives.",Développeur Frontend
"Développeur frontend Svelte, JavaScript moderne, Tailwind CSS. Interfaces utilisateur performantes et élégantes.",Développeur Frontend
"UI developer Next.js, React, SEO, performance web. Développement frontend optimisé et moderne.",Développeur Frontend
"Business analyst, analyse fonctionnelle, spécifications, UML. Gestion des besoins métier et processus.",Business Analyst
"Business analyst expérimenté en analyse fonctionnelle, UML, spécifications. Gestion des exigences métier.",Business Analyst
"Analyste métier senior, processus métier, optimisation, transformation digitale. Analyse des besoins utilisateurs.",Business Analyst
"Business analyst fonctionnel, cahier des charges, tests, validation. Accompagnement des projets métier.",Business Analyst
"Product owner agile, gestion backlog, user stories, priorisation. Définition des fonctionnalités produit.",Business Analyst
"Consultant fonctionnel ERP, SAP, analyse métier, paramétrage. Accompagnement transformation digitale.",Business Analyst
"Ressources humaines, recrutement, gestion des talents, formation. Développement RH et administration du personnel.",Ressources Humaines
"Responsable RH recrutement, gestion des talents, formation professionnelle. Développement des équipes et culture d'entreprise.",Ressources Humaines
"DRH expérimenté en gestion des ressources humaines, recrutement, formation, administration du personnel.",Ressources Humaines
"Chargé de ressources humaines, recrutement IT, formation continue, gestion administrative RH.",Ressources Humaines
"Talent acquisition specialist, sourcing, entretiens, marque employeur. Recrutement de profils tech.",Ressources Humaines
"HR manager gestion des compétences, GPEC, mobilité interne, évaluation performance.",Ressources Humaines
"Architecte logiciel, design patterns, architecture microservices, conception système. Architecture technique et modélisation.",Architecte Logiciel
"Architecte solution technique, architecture cloud, scalabilité, haute disponibilité. Conception de systèmes distribués.",Architecte Logiciel
"Software architect Java, architecture hexagonale, DDD, event sourcing. Conception d'architectures robustes.",Architecte Logiciel
"Architecte système .NET, architecture n-tiers, patterns, Azure. Conception de solutions d'entreprise.",Architecte Logiciel
"UX designer, ergonomie, design thinking, prototypage, Figma. Conception d'expériences utilisateur.",UX/UI Designer
"UI/UX designer, interfaces utilisateur, design system, Adobe XD, Sketch. Design d'applications web et mobile.",UX/UI Designer
"Product designer UX/UI, recherche utilisateur, wireframes, tests utilisateurs. Conception centrée utilisateur.",UX/UI Designer
"Designer d'interface, design graphique, Figma, prototypage interactif. Création d'interfaces modernes et intuitives.",UX/UI Designer
"Quality assurance engineer, tests automatisés, Selenium, CI/CD. Assurance qualité et tests logiciels.",QA Engineer
"QA tester, tests fonctionnels, tests de régression, testeur logiciel. Validation et qualité des applications.",QA Engineer
"Test automation engineer Selenium, Cypress, tests end-to-end. Automatisation des tests et qualité logicielle.",QA Engineer
"Testeur QA manuel et automatisé, JIRA, gestion des anomalies. Tests et validation de logiciels.",QA Engineer
"Ingénieur données data engineer, ETL, data pipeline, Airflow, Spark. Architecture de données et traitement.",Data Engineer
"Data engineer big data, Hadoop, Kafka, data warehousing. Infrastructure de données et pipelines.",Data Engineer
"Architecte données, modélisation, optimisation SQL, data lake. Architecture et gouvernance des données.",Data Engineer
"Ingénieur données cloud AWS, Redshift, Snowflake, data pipeline. Solutions de données cloud natives.",Data Engineer
"Product manager, stratégie produit, roadmap, KPI, analyse marché. Gestion de produit digital.",Product Manager
"Chef de produit digital, vision produit, backlog, métriques. Management de produits tech.",Product Manager
"Product owner technique, gestion produit agile, priorisation features. Développement de produits innovants.",Product Manager
"Responsable produit, analyse concurrentielle, go-to-market, stratégie produit. Lancement et gestion de produits.",Product Manager
"Marketing digital, SEO, SEM, réseaux sociaux, analytics. Stratégie marketing en ligne.",Marketing Digital
"Digital marketing manager, inbound marketing, content marketing, campagnes digitales. Acquisition et conversion.",Marketing Digital
"Spécialiste SEO/SEA, référencement naturel, Google Ads, stratégie digitale. Optimisation visibilité web.",Marketing Digital
"Community manager, social media, content creation, engagement communautaire. Gestion des réseaux sociaux.",Marketing Digital
